id,state,,,
53,Aberdeen City,,,
54,Aberdeenshire,,,
55,Angus,,,
56,Argyll and Bute,,,
57,Bath Avon,,,
58,Bedfordshire,,,
59,Belfast,,,
60,Berkshire,,,
61,Blaenau Gwent,,,
62,Bournemouth,,,
63,Bradford,,,
64,Bridgend,,,
65,Brighton and Hove,,,
66,Bristol,,,
67,Bristol Avon,,,
68,Buckinghamshire,,,
69,Caerphilly,,,
70,Cambridgeshire,,,
71,Cardiff,,,
72,Carmarthenshire,,,
73,Ceredigion,,,
74,Channel Islands,,,
75,Cheshire,,,
76,City of Edinburgh,,,
77,Clackmannanshire,,,
78,Conwy,,,
79,Cornwall,,,
80,County Armagh,,,
81,County Down,,,
82,County Durham,,,
83,County Fermanagh,,,
84,County Londonderry,,,
85,County Tyrone,,,
86,Cumbria,,,
87,Darlington,,,
88,Denbighshire,,,
89,Derby,,,
90,Derbyshire,,,
91,Devon,,,
92,Dorset,,,
93,Dumfries and Galloway,,,
94,Dundee City,,,
95,E Riding of Yorkshire,,,
96,East Ayrshire,,,
97,East Dunbartonshire,,,
98,East Lothian,,,
99,East Renfrewshire,,,
100,East Sussex,,,
101,Essex,,,
102,Falkirk,,,
103,Fife,,,
104,Flintshire,,,
105,Glasgow City,,,
106,Gloucestershire,,,
107,Greater London,,,
108,Greater Manchester,,,
109,Gwynedd,,,
110,Hampshire,,,
111,Hartlepool,,,
112,Hereford and Worcester,,,
113,Hertfordshire,,,
114,Highland,,,
115,Inverclyde,,,
116,Isle of Anglesey,,,
117,Isle of Man,,,
118,Isle of Wight,,,
119,Isles of Scilly,,,
120,Kent,,,
121,Kingston upon Hull,,,
122,Lancashire,,,
123,Leicester,,,
124,Leicestershire,,,
125,Lincolnshire,,,
126,London,,,
127,Luton,,,
128,Merseyside,,,
129,Merthyr Tydfil,,,
130,Middlesbrough,,,
131,Midlothian,,,
132,Milton Keynes,,,
133,Monmouthshire,,,
134,Moray,,,
135,Neath Port Talbot,,,
136,Newport,,,
137,Norfolk,,,
138,North Ayrshire,,,
139,North Eart Lincolnshire,,,
140,North Lanarkshire,,,
141,North Lincolnshire,,,
142,North Somerset,,,
143,North Yorkshire,,,
144,Northamptonshire,,,
145,Northumberland,,,
146,Nottinghamshire,,,
147,Orkney Islands,,,
148,Oxfordshire,,,
149,Pembrokeshire,,,
150,Perth and Kinross,,,
151,Poole,,,
152,Portsmouth,,,
153,Powys,,,
154,Redcar and Cleveland,,,
155,Renfrewshire,,,
156,Rhondda Cynon Taff,,,
157,Rutland,,,
158,Scottish Borders,,,
159,Shetland Islands,,,
160,Shropshire,,,
161,Somerset,,,
162,South Ayrshire,,,
163,South Gloucestershire,,,
164,South Lanarkshire,,,
165,South Yorkshire,,,
166,Southampton,,,
167,Staffordshire,,,
168,Stirling,,,
169,Stockton-on-Tees,,,
170,Stoke-on-Trent,,,
171,Suffolk,,,
172,Surrey,,,
173,Swansea,,,
174,Swindon,,,
175,Torfaen,,,
176,Tyne and Wear,,,
177,Vale of Glamorgan,,,
178,Warwickshire,,,
179,West Dunbart,,,
180,West Lothian,,,
181,West Midlands,,,
182,West Sussex,,,
183,West Yorkshire,,,
184,Western Isles,,,
185,Wiltshire,,,
186,Wolverhampton,,,
187,Wrexham,,,
188,York,,,